source_section,span_start,span_end,surface,ref_class,source_node_id,target_path,resolved_target_id,resolution_status,reason_code,target_snippet
274,23960,23974,subsection (e),local_structural,274(m)(1)(B)(ii),e,274(e),resolved,,(e) Specific exceptions to application of subsection (a) Subsection (a) shall not apply to— (1) Food and beverages for employees Expenses for food and beverages (and facilities use
274,25023,25037,Paragraph (1) ,local_structural,274(n)(2),1,274(n)(1),resolved,,(1) In general The amount allowable as a deduction under this chapter for any expense for food or beverages shall not exceed 50 percent of the amount of such expense which would (b
274,25105,25118,paragraph (2),local_structural,274(n)(2)(A),2,274(n)(2),resolved,,"(2) Exceptions Paragraph (1) shall not apply to any expense if— (A) such expense is described in paragraph (2), (3), (4), (7), (8), or (9) of subsection (e), (B) in the case of an "
274,25150,25164,subsection (e),local_structural,274(n)(2)(A),e,274(e),resolved,,(e) Specific exceptions to application of subsection (a) Subsection (a) shall not apply to— (1) Food and beverages for employees Expenses for food and beverages (and facilities use
274,26660,26672,Clauses (i) ,local_structural,274(n)(2)(D)(ii),i,274(n)(2)(D)(i),resolved,,"(i) for food or beverages provided by a restaurant, and"
274,26684,26701,subparagraph (C) ,local_structural,274(n)(2)(D)(ii),C,274(n)(2)(C),resolved,,"(C) such expense is for food or beverages— (i) required by any Federal law to be provided to crew members of a commercial vessel, (ii) provided to crew members of a commercial vess"
274,26823,26837,subsection (m),local_structural,274(n)(2)(D)(ii),m,274(m),resolved,,(m) Additional limitations on travel expenses (1) Luxury water transportation (A) In general No deduction shall be allowed under this chapter for expenses incurred for transportati
274,26886,26903,subparagraph (A) ,local_structural,274(n)(2)(D)(ii),A,274(n)(2)(A),resolved,,"(A) such expense is described in paragraph (2), (3), (4), (7), (8), or (9) of subsection (e),"
274,26944,26960,subparagraph (B),local_structural,274(n)(2)(D)(ii),B,274(n)(2)(B),resolved,,"(B) in the case of an employer who pays or reimburses moving expenses of an employee, such expenses are includible in the income of the employee under section 82,"
274,27294,27308,paragraph (1) ,local_structural,274(n)(3),1,274(n)(1),resolved,,(1) In general The amount allowable as a deduction under this chapter for any expense for food or beverages shall not exceed 50 percent of the amount of such expense which would (b
274,27464,27482,subsection (e)(8) ,local_structural,274(o),e.8,274(e)(8),resolved,,(8) Entertainment sold to customers Expenses for goods or services (including the use of facilities) which are sold by the taxpayer in a bona fide transaction for an adequate and f
274,27975,27990,subsection (a) ,local_structural,274(p),a,274(a),resolved,,"(a) Entertainment, amusement, recreation, or qualified transportation fringes (1) In general No deduction otherwise allowable under this chapter shall be allowed for any item— (A) "
274,27993,28008,subsection (b) ,local_structural,274(p),b,274(b),resolved,,(b) Gifts (1) Limitation No deduction shall be allowed under section 162 or section 212 for any expense for gifts made directly or indirectly to any individual to the extent that s
