source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,method,confidence
162,24638,24652,section 101(a),explicit,101,a,needs_review,llm,high
162,25017,25031,section 113(c),explicit,113,c,needs_review,llm,high
162,25328,25342,subsection (b),local_structural,162,b,needs_review,llm,high
162,25353,25364,section 414,explicit,414,,needs_review,llm,high
162,25428,25443,section 1563(a),explicit,1563,a,needs_review,llm,high
162,25892,25903,section 120,explicit,120,,needs_review,llm,high
162,26080,26096,subparagraph (B),local_structural,162,B,needs_review,llm,high
162,26080,26100,subparagraph (B)(ii),local_structural,162,B/ii,needs_review,llm,high
162,28094,28107,paragraph (4),local_structural,162,e(4),needs_review,llm,high
162,28126,28142,subparagraph (B),local_structural,162,4(B),needs_review,llm,high
162,28751,28776,subparagraphs (D) and (E),local_structural,162,"4(D),(E)",needs_review,llm,high
162,30430,30443,subclause (I),local_structural,162,6(A)(ii)(I),needs_review,llm,high
162,30962,30980,section 9832(b)(2),explicit,9832,b(2),needs_review,llm,high
162,31066,31084,section 9832(b)(1),explicit,9832,b(1),needs_review,llm,high
162,31453,31469,section 5000A(f),explicit,5000A,f,needs_review,llm,high
162,31596,31607,section 414,explicit,414,,needs_review,llm,high
162,31671,31686,section 1563(a),explicit,1563,a,needs_review,llm,high
162,32144,32157,paragraph (4),local_structural,162,4,needs_review,llm,high
162,32176,32192,subparagraph (B),local_structural,162,4.B,needs_review,llm,high
162,33646,33659,paragraph (1),local_structural,162,1,needs_review,llm,high
162,34014,34034,subparagraph (B)(ii),local_structural,162,B.ii,needs_review,llm,high
162,34528,34544,subparagraph (A),local_structural,162,A,needs_review,llm,high
162,35123,35139,subparagraph (A),local_structural,162,,needs_review,llm,high
162,35156,35169,paragraph (3),local_structural,162,e(3),needs_review,llm,high
162,35309,35325,subparagraph (C),local_structural,162,C,needs_review,llm,high
162,35586,35600,subsection (b),explicit,414,,needs_review,llm,high
162,36994,37007,paragraph (1),local_structural,162,,needs_review,llm,high
162,38112,38131,section 62(a)(2)(A),explicit,62,a(2)(A),needs_review,llm,high
162,38137,38150,section 62(c),explicit,62,c,needs_review,llm,high
162,38573,38583,section 67,explicit,67,,needs_review,llm,high
162,39409,39424,section 1(f)(3),explicit,1,(f)(3),needs_review,llm,high
162,39546,39566,subparagraph (A)(ii),explicit,1,(f)(3)(A)(ii),needs_review,llm,high
162,39546,39562,subparagraph (A),local_structural,162,(r)(3)(A),needs_review,llm,high
162,39687,39704,subsection (a)(2),local_structural,162,(a)(2),needs_review,llm,high
162,41338,41350,section 7(b),explicit,7,(b),needs_review,llm,high
162,41390,41407,12 U.S.C. 1817(b),explicit,1817,(b),needs_review,llm,high
162,41549,41560,section 165,explicit,165,,needs_review,llm,high
162,41628,41642,12 U.S.C. 5365,explicit,5365,,needs_review,llm,high
162,41956,41971,section 1504(a),explicit,1504,(a),needs_review,llm,high
162,42130,42145,section 1504(b),explicit,1504,b,needs_review,llm,high
162,42360,42377,section 954(d)(3),explicit,954,d(3),needs_review,llm,high
162,42608,42620,section 1237,explicit,1237,,needs_review,llm,high
162,42743,42755,section 1253,explicit,1253,,needs_review,llm,high
162,42830,42841,section 419,explicit,419,,needs_review,llm,high
162,42906,42917,section 404,explicit,404,,needs_review,llm,high
