surface,target_section,target_path,ref_class,span_start,span_end,rej16,llm,gold,note
section 6033(e)(1)(A)(ii),6033,e.1.a.ii,explicit,6009,6034,1,1,1,
section 62(a)(2)(A),62,a.2.a,explicit,38112,38131,1,1,1,
section 62(c),62,c,explicit,38137,38150,1,1,1,
section 67,67,,explicit,38573,38583,1,1,1,
section 7(b),7,b,explicit,41338,41350,1,1,1,
section 7454,7454,,explicit,2810,2822,1,1,1,
section 7702B(b),7702b,b,explicit,17589,17605,1,1,1,
section 7702B(c),7702b,c,explicit,17504,17520,1,0,1,
section 954(d)(3),954,d.3,explicit,42360,42377,1,1,1,
section 9832(b)(1),9832,b.1,explicit,31066,31084,1,1,1,
section 9832(b)(2),9832,b.2,explicit,30962,30980,1,1,1,
subclause (I),162,6.a.ii.i,local_structural,30430,30443,0,1,0,
subclause (II),162,6.a.ii.ii,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (A),162,,local_structural,35123,35139,0,1,1,
Subparagraph (A),162,a,local_structural,10349,10366,1,1,1,
subparagraph (A),162,c.2.a,local_structural,20390,20406,0,1,0,
subparagraph (A),162,r.3.a,local_structural,39546,39562,0,1,0,
subparagraph (A)(ii),1,f.3.a.ii,explicit,39546,39566,0,1,1,
subparagraph (A)(ii),162,a.ii,local_structural,39546,39567,1,0,0,
subparagraph (B),162,4.b,local_structural,28126,28142,0,1,1,
subparagraph (B),162,b,local_structural,20856,20873,1,1,1,
subparagraph (B),162,e.3.b,local_structural,20856,20872,0,1,0,
subparagraph (B)(ii),162,b.ii,local_structural,26080,26101,1,1,1,
subparagraph (C),162,c,local_structural,35309,35326,1,1,1,
subparagraph (D),162,,local_structural,17285,17301,0,1,1,
subparagraph (D),162,d,local_structural,17285,17302,1,0,1,
subparagraph (E),162,e,local_structural,21979,21996,1,0,0,
subparagraph (E),3121,a.5.e,explicit,21979,21995,0,1,1,
subparagraph (F),162,f,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (i),162,6.c.i,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (I),162,i,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (II),162,ii,local_structural,-1,-1,0,1,0,no exact surface span
subparagraphs (B),162,b,local_structural,35964,35982,1,0,1,
subparagraphs (D),162,d,local_structural,28751,28769,1,0,1,
subparagraphs (D) and (E),162,"4.d, e",local_structural,28751,28776,0,1,1,
subsection (a),162,a,local_structural,1761,1776,1,1,1,
subsection (a)(2),162,a.2,local_structural,39687,39704,1,1,1,
subsection (b),162,b,local_structural,25328,25343,1,1,0,
subsection (b),414,,explicit,35586,35600,0,1,1,
subsection (c),162,c,local_structural,-1,-1,0,1,0,no exact surface span
subsection (m),414,,explicit,-1,-1,0,1,0,no exact surface span
subsection (o),414,,explicit,-1,-1,0,1,0,no exact surface span
§ 274,274,,explicit,-1,-1,0,1,0,no exact surface span
