surface,target_section,target_path,ref_class,span_start,span_end,rej16,llm,gold,note
section 132(f),132,f,explicit,1185,1199,1,1,1,
section 143(k)(2)(B),143,k.2.b,explicit,26510,26530,1,1,1,
section 16(a),16,a,explicit,5699,5712,1,0,1,
section 16(a) of the Securities Exchange Act of 1934,16,a|securities.exchange.act.of.1934,explicit,5699,5751,0,1,1,
section 162,162,,explicit,1303,1314,1,1,1,
section 162(a)(2),162,a.2,explicit,27134,27151,1,1,1,
section 2101,2101,,explicit,26217,26229,1,0,1,
"section 2101 of title 46 , United States Code",2101,title.46,explicit,26217,26262,0,1,1,
section 212,212,,explicit,701,712,1,1,1,
section 212(a)(1)(A),212,a.1.a,explicit,14669,14689,1,1,1,
section 217,217,,explicit,24218,24229,1,1,1,
section 267(b),267,b,explicit,6126,6140,1,1,1,
section 267(c)(4),267,c.4,explicit,7354,7371,1,1,1,
section 280F(d)(4),280f,d.4,explicit,3760,3778,1,1,1,
section 414(q),414,q,explicit,7030,7044,1,1,1,
section 501(a),501,a,explicit,7931,7945,1,1,1,
section 501(c)(6),501,c.6,explicit,7788,7805,1,1,1,
section 6103(k)(4),6103,k.4,explicit,17408,17426,1,1,1,
section 707(b),707,b,explicit,-1,-1,0,1,0,actual text likely omits repeated word section
section 74,74,,explicit,8681,8691,1,1,1,
section 82,82,,explicit,25317,25327,1,1,1,
subchapter A of chapter 7,7,a,explicit,17475,17500,0,1,1,
subparagraph (A),274,,local_structural,467,483,0,1,1,
subparagraph (A),274,a,local_structural,467,483,1,1,1,
subparagraph (A),274,e.2.a,local_structural,5356,5372,0,1,1,
subparagraph (A),274,h.1.a,local_structural,17988,18004,0,1,1,
subparagraph (A)(i),,a.i,explicit,-1,-1,0,1,0,wrong class or target
subparagraph (A)(ii),,a.ii,explicit,17988,18008,0,1,0,wrong class or target
subparagraph (A)(ii),274,a.ii,local_structural,17988,18009,1,0,1,
subparagraph (aa),274,n.2.d.v.ii.aa,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (B),274,b,local_structural,4855,4871,1,0,1,
subparagraph (B),274,e.2.b,local_structural,4855,4871,0,1,1,
subparagraph (B),274,h.1.b,local_structural,12036,12052,0,1,1,
subparagraph (B),274,n.2.b,local_structural,26944,26960,0,1,1,
subparagraph (bb),274,n.2.d.v.ii.bb,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (C),,c,explicit,17585,17601,0,1,0,wrong class or target
subparagraph (C),274,c,local_structural,14245,14262,1,0,1,
subparagraph (C),274,h.1.c,local_structural,14245,14261,0,1,1,
subparagraph (C),274,n.2.c,local_structural,26684,26700,0,1,1,
subparagraph (C)(ii),,c.ii,explicit,17759,17779,0,1,0,wrong class or target
subparagraph (C)(ii),274,c.ii,local_structural,17759,17780,1,0,1,
subparagraph (D),274,n.2.d,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (E),274,n.2.d.v,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (i),,i,explicit,-1,-1,0,1,0,wrong class and no exact span
subparagraph (ii),,ii,explicit,-1,-1,0,1,0,wrong class and no exact span
subparagraph (II),274,n.2.d.v.ii,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (iii),274,c.iii,local_structural,-1,-1,0,1,0,no exact surface span
subparagraph (iv),274,c.iv,local_structural,-1,-1,0,1,0,no exact surface span
subsection (a),274,,local_structural,4536,4550,0,1,1,
subsection (a),274,a,local_structural,4536,4551,1,1,1,
subsection (a),274,c.a,local_structural,27975,27989,0,1,1,
subsection (a)(3),274,a.3,local_structural,7421,7438,1,0,1,
subsection (b),274,b,local_structural,27993,28008,1,0,1,
subsection (d),274,d,local_structural,6741,6755,1,1,1,
subsection (e),274,e,local_structural,22723,22737,1,0,1,
subsection (e),274,e,explicit,25150,25164,0,1,0,wrong class
subsection (e)(8),274,e.8,local_structural,27464,27482,1,0,1,
subsection (i),274,i,local_structural,4477,4491,1,1,1,
subsection (m),274,m,local_structural,26823,26837,1,1,1,
this paragraph,274,,local_structural,7064,7078,0,1,1,
this section,274,,local_structural,27919,27931,0,1,1,
this subsection,274,,local_structural,11639,11654,0,1,1,
§ 274,274,,explicit,0,5,0,1,0,section heading
